"customer_id","product","sales_amount","sale_date"
31,"g",449.16759342406,2022-06-09
79,"b",533.140151637905,2022-12-03
51,"i",557.437773163022,2022-08-27
14,"e",553.331433051397,2022-08-01
67,"a",524.837592219093,2022-10-06
42,"j",428.199120859782,2022-12-30
50,"i",367.290772316445,2022-03-02
43,"i",659.533273710626,2022-11-18
14,"g",543.278792650681,2022-09-09
25,"b",391.050087142497,2022-10-18
90,"h",368.201446438431,2022-12-29
91,"g",465.840515447876,2022-06-10
69,"f",470.244473621023,2022-07-30
91,"g",508.85126419635,2022-02-27
57,"j",609.064461000821,2022-12-19
92,"b",347.354692908759,2022-03-04
9,"b",651.928992015584,2022-05-12
93,"e",545.208542030445,2022-05-31
99,"g",492.076055924744,2022-09-15
72,"j",530.55692851557,2022-10-25
26,"i",414.353082249015,2022-04-06
7,"g",610.392464488729,2022-09-14
42,"f",578.017265262234,2022-08-12
9,"d",359.574785159393,2022-03-02
83,"c",411.843725485332,2022-07-12
36,"c",482.76064790523,2022-04-14
78,"j",411.267216817094,2022-03-24
81,"b",334.406452571523,2022-02-09
43,"c",436.219547321193,2022-04-02
76,"a",471.014217320301,2022-08-03
15,"a",357.87050167148,2022-02-02
32,"a",487.800490259354,2022-10-31
7,"d",392.922072917149,2022-11-23
9,"c",311.224605606634,2022-09-05
41,"b",425.677896785993,2022-08-18
74,"g",412.435278442649,2022-10-06
23,"b",650.759890515409,2022-12-08
27,"b",450.42203035003,2022-06-23
60,"g",541.515507873148,2022-09-10
53,"j",459.860682568723,2022-03-15
7,"d",442.659118313604,2022-08-01
53,"d",390.620245591756,2022-12-22
27,"h",350.241547493979,2022-07-22
96,"i",546.807622874313,2022-02-13
38,"c",657.64509823297,2022-05-20
89,"i",532.19115158776,2022-11-22
34,"c",541.030153732224,2022-03-10
93,"f",498.916974324509,2022-05-05
69,"e",596.145366783582,2022-07-05
72,"b",543.123220122812,2022-02-20
76,"f",330.613302730758,2022-01-09
63,"a",315.594062740863,2022-01-28
13,"e",480.949639205709,2022-07-12
82,"c",397.066010372901,2022-11-02
97,"c",559.031103917098,2022-02-11
91,"c",456.10509509919,2022-08-06
25,"f",599.634754876334,2022-07-31
38,"i",667.509190068467,2022-06-27
21,"c",665.101228187262,2022-06-15
79,"b",480.317281861919,2022-11-09
41,"e",419.554370353404,2022-11-27
47,"e",486.18927989266,2022-11-27
90,"g",361.646773509744,2022-01-20
60,"b",625.330648167576,2022-11-30
95,"h",313.122501474101,2022-08-04
16,"g",379.133218629394,2022-02-26
94,"g",558.141565822151,2022-07-17
6,"h",534.36891223214,2022-11-03
72,"e",586.867103788534,2022-06-03
86,"b",405.375886744358,2022-10-03
86,"c",339.102471331349,2022-05-21
39,"i",600.088173089209,2022-07-23
31,"c",557.538951074278,2022-10-30
81,"c",724.049359809806,2022-04-08
50,"e",392.770480804084,2022-03-02
34,"g",316.366746572798,2022-07-07
4,"h",581.112280240831,2022-08-02
13,"j",662.858322153871,2022-09-19
69,"d",483.06612404125,2022-03-21
25,"c",585.852514396662,2022-12-01
52,"g",455.840322116239,2022-10-24
22,"h",608.585836753438,2022-02-20
89,"a",537.217877826927,2022-04-08
32,"g",550.396503480584,2022-07-26
25,"i",368.762936234894,2022-03-03
87,"c",429.650863521899,2022-09-21
35,"j",442.877064353211,2022-09-18
40,"f",474.599035378095,2022-06-30
30,"d",360.080336755234,2022-08-19
12,"i",563.038489211058,2022-05-26
31,"e",409.163705787648,2022-12-16
30,"i",529.13993426346,2022-06-09
64,"i",338.629196145808,2022-05-28
99,"e",408.829545006038,2022-09-07
14,"f",709.403216959931,2022-03-19
93,"f",556.07870866514,2022-11-18
96,"f",506.452987544639,2022-04-27
71,"h",385.86423013057,2022-08-08
67,"d",431.287954445016,2022-12-29
23,"h",402.064158050182,2022-08-23
79,"g",546.051894664166,2022-07-08
85,"g",704.401526078014,2022-06-06
