Id,ActivityDate,TotalSteps,TotalDistance,TotalModTime,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,2016-04-12,13162.0,8.5,38,0.0,1.879999995,0.550000012,6.059999943,0.0,25,13,328,728.0,1985
1503960366,2016-04-13,10735.0,6.96999979,40,0.0,1.570000052,0.689999998,4.710000038,0.0,21,19,217,776.0,1797
1503960366,2016-04-14,10460.0,6.739999771,41,0.0,2.440000057,0.400000006,3.910000086,0.0,30,11,181,1218.0,1776
1503960366,2016-04-15,9762.0,6.28000021,63,0.0,2.140000105,1.25999999,2.829999924,0.0,29,34,209,726.0,1745
1503960366,2016-04-16,12669.0,8.159999847,46,0.0,2.710000038,0.409999996,5.039999962,0.0,36,10,221,773.0,1863
1503960366,2016-04-17,9705.0,6.480000019,58,0.0,3.190000057,0.779999971,2.50999999,0.0,38,20,164,539.0,1728
1503960366,2016-04-18,13019.0,8.590000153,58,0.0,3.25,0.639999986,4.710000038,0.0,42,16,233,1149.0,1921
1503960366,2016-04-19,15506.0,9.880000114,81,0.0,3.529999971,1.320000052,5.03000021,0.0,50,31,264,775.0,2035
1503960366,2016-04-20,10544.0,6.679999828,40,0.0,1.960000038,0.479999989,4.239999771,0.0,28,12,205,818.0,1786
1503960366,2016-04-21,9819.0,6.340000153,27,0.0,1.340000033,0.349999994,4.650000095,0.0,19,8,211,838.0,1775
1503960366,2016-04-22,12764.0,8.130000114,93,0.0,4.760000229,1.120000005,2.24000001,0.0,66,27,130,1217.0,1827
1503960366,2016-04-23,14371.0,9.039999962,62,0.0,2.809999943,0.870000005,5.360000134,0.0,41,21,262,732.0,1949
1503960366,2016-04-24,10039.0,6.409999847,44,0.0,2.920000076,0.209999993,3.279999971,0.0,39,5,238,709.0,1788
1503960366,2016-04-25,15355.0,9.800000191,87,0.0,5.289999962,0.569999993,3.940000057,0.0,73,14,216,814.0,2013
1503960366,2016-04-26,13755.0,8.789999962,54,0.0,2.329999924,0.920000017,5.539999962,0.0,31,23,279,833.0,1970
1503960366,2016-04-27,18134.0,12.21000004,89,0.0,6.400000095,0.409999996,5.409999847,0.0,78,11,243,1108.0,2159
1503960366,2016-04-28,13154.0,8.529999733,76,0.0,3.539999962,1.159999967,3.789999962,0.0,48,28,189,782.0,1898
1503960366,2016-04-30,14673.0,9.25,86,0.0,3.559999943,1.419999957,4.269999981,0.0,52,34,217,712.0,1947
1503960366,2016-05-01,10602.0,6.809999943,68,0.0,2.289999962,1.600000024,2.920000076,0.0,33,35,246,730.0,1820
1503960366,2016-05-02,14727.0,9.710000038,56,0.0,3.210000038,0.569999993,5.920000076,0.0,41,15,277,798.0,2004
1503960366,2016-05-03,15103.0,9.659999847,74,0.0,3.730000019,1.049999952,4.880000114,0.0,50,24,254,816.0,1990
1503960366,2016-05-04,11100.0,7.150000095,58,0.0,2.460000038,0.870000005,3.819999933,0.0,36,22,203,1179.0,1819
1503960366,2016-05-05,14070.0,8.899999619,69,0.0,2.920000076,1.080000043,4.880000114,0.0,45,24,250,857.0,1959
1503960366,2016-05-06,12159.0,8.029999733,30,0.0,1.970000029,0.25,5.809999943,0.0,24,6,289,754.0,1896
1503960366,2016-05-07,11992.0,7.710000038,83,0.0,2.460000038,2.119999886,3.130000114,0.0,37,46,175,833.0,1821
1503960366,2016-05-08,10060.0,6.579999924,52,0.0,3.529999971,0.319999993,2.730000019,0.0,44,8,203,574.0,1740
1503960366,2016-05-09,12022.0,7.71999979,57,0.0,3.450000048,0.529999971,3.74000001,0.0,46,11,206,835.0,1819
1503960366,2016-05-10,12207.0,7.769999981,77,0.0,3.349999905,1.159999967,3.25999999,0.0,46,31,214,746.0,1859
1503960366,2016-05-11,12770.0,8.130000114,59,0.0,2.559999943,1.00999999,4.550000191,0.0,36,23,251,669.0,1783
1624580081,2016-04-17,6175.0,4.059999943,37,0.0,1.029999971,1.519999981,1.49000001,0.01,15,22,127,1276.0,1554
1624580081,2016-04-18,10536.0,7.409999847,24,0.0,2.150000095,0.620000005,4.619999886,0.01,17,7,202,1214.0,1604
1624580081,2016-04-24,6076.0,3.950000048,34,0.0,1.149999976,0.910000026,1.889999986,0.0,16,18,185,1221.0,1617
1624580081,2016-04-27,8367.0,5.440000057,53,0.0,1.110000014,1.870000005,2.460000038,0.0,17,36,154,1233.0,1670
1624580081,2016-04-30,6474.0,4.300000191,34,0.0,0.899999976,1.279999971,2.119999886,0.01,11,23,224,1182.0,1655
4445114986,2016-05-01,7405.5,5.2449998855,21,0.0,0.209999993,0.239999995,3.3649998905,0.0,4,6,199,1057.5,2134
1624580081,2016-05-02,7155.0,4.929999828,13,0.0,0.860000014,0.589999974,3.470000029,0.0,7,6,166,1261.0,1497
1644430081,2016-04-13,8001.0,5.820000172,46,0.0,2.279999971,0.899999976,2.640000105,0.0,30,16,135,1259.0,2902
1644430081,2016-04-15,5263.0,3.829999924,7,0.0,0.219999999,0.150000006,3.450000048,0.0,3,4,170,1263.0,2750
1644430081,2016-04-16,15300.0,11.11999989,93,0.0,4.099999905,1.879999995,5.090000153,0.0,51,42,212,1135.0,3493
1644430081,2016-04-17,8757.0,6.369999886,42,0.0,2.25,0.569999993,3.549999952,0.0,29,13,186,1212.0,3011
1644430081,2016-04-18,7132.0,5.190000057,48,0.0,1.070000052,1.669999957,2.450000048,0.0,15,33,121,1271.0,2806
1644430081,2016-04-26,9919.0,7.210000038,52,0.0,0.800000012,1.720000029,4.690000057,0.0,11,41,223,1165.0,3123
1644430081,2016-04-30,18213.0,13.23999977,80,0.0,0.629999995,3.140000105,9.460000038,0.0,9,71,402,816.0,3846
1644430081,2016-05-01,6132.0,4.460000038,27,0.0,0.239999995,0.99000001,3.230000019,0.0,3,24,146,908.0,2696
4445114986,2016-05-03,7405.5,5.2449998855,21,0.0,0.209999993,0.239999995,3.3649998905,0.0,4,6,199,1057.5,2134
1644430081,2016-05-05,4363.0,3.190000057,18,0.0,0.519999981,0.540000021,2.130000114,0.01,6,12,81,1341.0,2463
1644430081,2016-05-06,9787.0,7.119999886,17,0.0,0.819999993,0.270000011,6.010000229,0.02,11,6,369,1054.0,3328
1644430081,2016-05-07,13372.0,9.720000267,58,0.0,3.25999999,0.790000021,5.670000076,0.01,41,17,243,1139.0,3404
1644430081,2016-05-09,6643.0,4.829999924,38,0.0,2.390000105,0.349999994,2.089999914,0.01,32,6,303,1099.0,3008
1644430081,2016-05-10,9167.0,6.659999847,31,0.0,0.879999995,0.810000002,4.96999979,0.01,12,19,155,1254.0,2799
1844505072,2016-04-21,8054.0,5.320000172,15,0.0,0.119999997,0.519999981,4.679999828,0.0,2,13,308,1117.0,2062
1927972279,2016-05-02,3790.0,2.619999886,24,0.0,1.159999967,0.300000012,1.159999967,0.0,16,8,94,1322.0,2505
1927972279,2016-05-03,1326.0,0.920000017,10,0.0,0.730000019,0.0,0.180000007,0.0,10,0,17,1413.0,2195
2022484408,2016-04-12,11875.0,8.340000153,56,0.0,3.309999943,0.769999981,4.260000229,0.0,42,14,227,1157.0,2390
2022484408,2016-04-13,12024.0,8.5,48,0.0,2.99000001,0.100000001,5.409999847,0.0,43,5,292,1100.0,2601
2022484408,2016-04-14,10690.0,7.5,35,0.0,2.480000019,0.209999993,4.820000172,0.0,32,3,257,1148.0,2312
2022484408,2016-04-15,11034.0,8.029999733,36,0.0,1.940000057,0.310000002,5.78000021,0.0,27,9,282,1122.0,2525
2022484408,2016-04-16,10100.0,7.090000153,52,0.0,3.150000095,0.550000012,3.390000105,0.0,41,11,151,1237.0,2177
2022484408,2016-04-17,15112.0,11.39999962,57,0.0,3.869999886,0.660000026,6.880000114,0.0,28,29,331,1052.0,2782
2022484408,2016-04-18,14131.0,10.06999969,51,0.0,3.640000105,0.119999997,6.300000191,0.0,48,3,311,1078.0,2770
2022484408,2016-04-19,11548.0,8.529999733,38,0.0,3.289999962,0.239999995,5.0,0.0,31,7,250,1152.0,2489
2022484408,2016-04-20,15112.0,10.67000008,111,0.0,3.339999914,1.929999948,5.400000095,0.0,48,63,276,1053.0,2897
