Country,Location,YearFrom,YearTo,X,Y,Distance,Turn
Australia,Melbourne,2022,2023,-3576,986,325.041251,T1
Australia,Melbourne,2022,2023,-7211,6988,1065.72089,T2
Australia,Melbourne,2022,2023,-5881,7701,1234.180197,T3
Australia,Melbourne,2022,2023,-5914,9529,1421.500816,T4
Australia,Melbourne,2022,2023,-3696,11193,1704.526881,T5
Australia,Melbourne,2022,2023,-2300,11854,1857.306942,T6
Australia,Melbourne,2022,2023,-1510,11459,1940.882778,T7
Australia,Melbourne,2022,2023,29,11004,2100.530556,T8
Australia,Melbourne,2022,2023,2677,854,3253.137274,T9
Australia,Melbourne,2022,2023,3526,858,3332.755752,T10
Australia,Melbourne,2022,2023,4904,213,3500.148185,T11
Australia,Melbourne,2022,2023,7473,-4901,4089.213333,T12
Australia,Melbourne,2022,2023,4106,-4340,4498.513611,T13
Australia,Melbourne,2022,2023,2516,-4457,4739.05964,T14
