Id,ActivityDate,TotalSteps,TotalDistance,TotalModTime,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,ActivityDateNumeric
1503960366,2016-04-12,13162.0,8.5,38.0,0.0,1.879999995,0.550000012,6.059999943,0.0,25.0,13.0,328,728.0,1985.0,736066
1503960366,2016-04-13,10735.0,6.96999979,40.0,0.0,1.570000052,0.689999998,4.710000038,0.0,21.0,19.0,217,776.0,1797.0,736067
1503960366,2016-04-14,10460.0,6.739999771,41.0,0.0,2.440000057,0.400000006,3.910000086,0.0,30.0,11.0,181,1218.0,1776.0,736068
1503960366,2016-04-15,9762.0,6.28000021,63.0,0.0,2.140000105,1.25999999,2.829999924,0.0,29.0,34.0,209,726.0,1745.0,736069
1503960366,2016-04-16,12669.0,8.159999847,46.0,0.0,2.710000038,0.409999996,5.039999962,0.0,36.0,10.0,221,773.0,1863.0,736070
1503960366,2016-04-17,9705.0,6.480000019,58.0,0.0,3.190000057,0.779999971,2.50999999,0.0,38.0,20.0,164,539.0,1728.0,736071
1503960366,2016-04-18,13019.0,8.590000153,58.0,0.0,3.25,0.639999986,4.710000038,0.0,42.0,16.0,233,1149.0,1921.0,736072
1503960366,2016-04-19,15506.0,9.880000114,81.0,0.0,3.529999971,1.320000052,5.03000021,0.0,50.0,31.0,264,775.0,2035.0,736073
1503960366,2016-04-20,10544.0,6.679999828,40.0,0.0,1.960000038,0.479999989,4.239999771,0.0,28.0,12.0,205,818.0,1786.0,736074
1503960366,2016-04-21,9819.0,6.340000153,27.0,0.0,1.340000033,0.349999994,4.650000095,0.0,19.0,8.0,211,838.0,1775.0,736075
1503960366,2016-04-22,12764.0,8.130000114,93.0,0.0,4.760000229,1.120000005,2.24000001,0.0,66.0,27.0,130,1217.0,1827.0,736076
1503960366,2016-04-23,14371.0,9.039999962,62.0,0.0,2.809999943,0.870000005,5.360000134,0.0,41.0,21.0,262,732.0,1949.0,736077
1503960366,2016-04-24,10039.0,6.409999847,44.0,0.0,2.920000076,0.209999993,3.279999971,0.0,39.0,5.0,238,709.0,1788.0,736078
1503960366,2016-04-25,15355.0,9.800000191,87.0,0.0,5.289999962,0.569999993,3.940000057,0.0,73.0,14.0,216,814.0,2013.0,736079
1503960366,2016-04-26,13755.0,8.789999962,54.0,0.0,2.329999924,0.920000017,5.539999962,0.0,31.0,23.0,279,833.0,1970.0,736080
1503960366,2016-04-27,18134.0,12.21000004,89.0,0.0,6.400000095,0.409999996,5.409999847,0.0,78.0,11.0,243,1108.0,2159.0,736081
1503960366,2016-04-28,13154.0,8.529999733,76.0,0.0,3.539999962,1.159999967,3.789999962,0.0,48.0,28.0,189,782.0,1898.0,736082
1503960366,2016-04-30,14673.0,9.25,86.0,0.0,3.559999943,1.419999957,4.269999981,0.0,52.0,34.0,217,712.0,1947.0,736084
1503960366,2016-05-01,10602.0,6.809999943,68.0,0.0,2.289999962,1.600000024,2.920000076,0.0,33.0,35.0,246,730.0,1820.0,736085
1503960366,2016-05-02,14727.0,9.710000038,56.0,0.0,3.210000038,0.569999993,5.920000076,0.0,41.0,15.0,277,798.0,2004.0,736086
1503960366,2016-05-03,15103.0,9.659999847,74.0,0.0,3.730000019,1.049999952,4.880000114,0.0,50.0,24.0,254,816.0,1990.0,736087
1503960366,2016-05-04,11100.0,7.150000095,58.0,0.0,2.460000038,0.870000005,3.819999933,0.0,36.0,22.0,203,1179.0,1819.0,736088
1503960366,2016-05-05,14070.0,8.899999619,69.0,0.0,2.920000076,1.080000043,4.880000114,0.0,45.0,24.0,250,857.0,1959.0,736089
1503960366,2016-05-06,12159.0,8.029999733,30.0,0.0,1.970000029,0.25,5.809999943,0.0,24.0,6.0,289,754.0,1896.0,736090
1503960366,2016-05-07,11992.0,7.710000038,83.0,0.0,2.460000038,2.119999886,3.130000114,0.0,37.0,46.0,175,833.0,1821.0,736091
1503960366,2016-05-08,10060.0,6.579999924,52.0,0.0,3.529999971,0.319999993,2.730000019,0.0,44.0,8.0,203,574.0,1740.0,736092
1503960366,2016-05-09,12022.0,7.71999979,57.0,0.0,3.450000048,0.529999971,3.74000001,0.0,46.0,11.0,206,835.0,1819.0,736093
1503960366,2016-05-10,12207.0,7.769999981,77.0,0.0,3.349999905,1.159999967,3.25999999,0.0,46.0,31.0,214,746.0,1859.0,736094
1503960366,2016-05-11,12770.0,8.130000114,59.0,0.0,2.559999943,1.00999999,4.550000191,0.0,36.0,23.0,251,669.0,1783.0,736095
1624580081,2016-04-17,6175.0,4.059999943,37.0,0.0,1.029999971,1.519999981,1.49000001,0.01,15.0,22.0,127,1276.0,1554.0,736071
1624580081,2016-04-18,10536.0,7.409999847,24.0,0.0,2.150000095,0.620000005,4.619999886,0.01,17.0,7.0,202,1214.0,1604.0,736072
1624580081,2016-04-24,6076.0,3.950000048,34.0,0.0,1.149999976,0.910000026,1.889999986,0.0,16.0,18.0,185,1221.0,1617.0,736078
1624580081,2016-04-27,8367.0,5.440000057,53.0,0.0,1.110000014,1.870000005,2.460000038,0.0,17.0,36.0,154,1233.0,1670.0,736081
1624580081,2016-04-30,6474.0,4.300000191,34.0,0.0,0.899999976,1.279999971,2.119999886,0.01,11.0,23.0,224,1182.0,1655.0,736084
1624580081,2016-05-01,,,,0.0,,,1.909999967,0.02,,63.0,171,1020.0,2690.0,736085
1624580081,2016-05-02,7155.0,4.929999828,13.0,0.0,0.860000014,0.589999974,3.470000029,0.0,7.0,6.0,166,1261.0,1497.0,736086
1644430081,2016-04-13,8001.0,5.820000172,46.0,0.0,2.279999971,0.899999976,2.640000105,0.0,30.0,16.0,135,1259.0,2902.0,736067
1644430081,2016-04-15,5263.0,3.829999924,7.0,0.0,0.219999999,0.150000006,3.450000048,0.0,3.0,4.0,170,1263.0,2750.0,736069
1644430081,2016-04-16,15300.0,11.11999989,93.0,0.0,4.099999905,1.879999995,5.090000153,0.0,51.0,42.0,212,1135.0,3493.0,736070
